Credit_score,First Payment Due,First time home buyer flag,Maturity Date,METROPOLITAN STATISTICAL AREA (MSA) OR METROPOLITAN DIVISION,Mortgage Insurance Percentage,Number of units,Occupancy Status,Original_combined_loan_to_value,Original_debt_to_income_ratio,Unpaid_principal_balance,Original_loan_to_value,Original_interest_rate,Channel,PPM,Product type,Property_state,Property_type,Postal Code,Loan Sequence Number,Loan_purpose,Original_Loan_Term,Number_of_borrowers,Seller_name,Servicer_name,XYZ
699,200505,N,203504,39300,0,1,O,56,42,190000,56,5.625,R,N,FRM,RI,SF,2800,F105Q1000001,C,360,2,Other sellers,USBANKNA,
691,200504,N,203503,36420,25,1,O,90,36,90000,90,5.75,R,N,FRM,OK,SF,73000,F105Q1000002,N,360,1,Other sellers,Other servicers,
713,200503,N,203502,28740,0,1,O,72,45,357000,72,6,R,N,FRM,NY,SF,12500,F105Q1000003,P,360,2,Other sellers,Other servicers,
719,200505,N,203504,,0,1,S,85,47,195000,68,5.75,R,N,FRM,MO,CO,65000,F105Q1000004,P,360,2,Other sellers,USBANKNA,
656,200503,N,203502,40340,0,1,O,68,30,253000,68,5.625,R,N,FRM,MN,SF,55900,F105Q1000005,C,360,2,Other sellers,Other servicers,
641,200504,N,203503,19500,30,1,O,94,41,96000,94,6.25,R,N,FRM,IL,SF,62500,F105Q1000006,N,360,1,Other sellers,Other servicers,
646,200505,N,203504,17140,0,1,O,77,43,274000,77,6.125,R,N,FRM,KY,SF,41000,F105Q1000007,N,360,2,Other sellers,Other servicers,
586,200503,N,203502,28740,0,1,O,80,34,126000,80,6.125,R,N,FRM,NY,PU,12400,F105Q1000008,P,360,2,Other sellers,Other servicers,
582,200503,N,203502,,0,1,O,80,41,88000,80,5.625,R,N,FRM,WA,MH,98900,F105Q1000009,P,360,2,Other sellers,Other servicers,
720,200503,N,203502,36500,30,1,O,95,32,200000,95,5.5,T,N,FRM,WA,CO,98500,F105Q1000010,P,360,1,Other sellers,PNCMTGESERVICES,INC
731,200504,N,203503,,0,1,O,59,30,250000,59,5.625,R,N,FRM,TX,SF,75900,F105Q1000011,P,360,2,Other sellers,PNCMTGESERVICES,INC
762,200504,N,203503,,0,1,S,80,37,163000,80,5.625,R,N,FRM,MO,CO,65000,F105Q1000012,P,360,2,Other sellers,USBANKNA,
672,200503,N,203502,27260,0,1,I,75,41,125000,75,6.5,R,N,FRM,FL,CO,32000,F105Q1000013,P,360,2,Other sellers,Other servicers,
805,200503,N,203502,,0,1,O,69,36,78000,69,6,R,N,FRM,IL,MH,61900,F105Q1000014,N,360,1,Other sellers,WELLSFARGOBANK,NA
605,200503,N,203502,,0,1,O,68,37,175000,68,5.875,R,N,FRM,TX,SF,77900,F105Q1000015,N,360,1,Other sellers,PNCMTGESERVICES,INC
760,200503,N,203502,40140,0,1,I,25,44,60000,25,6,R,N,FRM,CA,SF,92800,F105Q1000016,C,360,1,Other sellers,Other servicers,
754,200503,N,203502,,0,1,O,75,37,165000,75,5.75,R,N,FRM,KY,SF,42100,F105Q1000017,N,360,2,Other sellers,Other servicers,
641,200504,N,203503,,0,1,O,69,32,162000,69,6.25,R,N,FRM,KY,SF,42700,F105Q1000018,N,360,2,Other sellers,WASHINGTONMUTUALBANK,
757,200503,N,203502,23844,12,1,O,84,39,300000,84,5.875,R,N,FRM,IN,SF,46300,F105Q1000019,P,360,2,Other sellers,PNCMTGESERVICES,INC
657,200504,N,203503,35644,0,2,O,70,33,245000,70,5.875,R,N,FRM,NJ,SF,7000,F105Q1000020,C,360,2,Other sellers,Other servicers,
705,200504,N,203503,30300,17,1,O,83,41,145000,83,6,R,N,FRM,ID,MH,83500,F105Q1000021,P,360,2,Other sellers,Other servicers,
718,200503,N,203502,,0,1,O,72,41,135000,72,5.75,R,N,FRM,TN,SF,37800,F105Q1000022,N,360,2,Other sellers,USBANKNA,
719,200503,N,203502,,0,1,O,78,45,90000,78,6.25,R,N,FRM,IL,MH,62400,F105Q1000023,N,360,2,Other sellers,WELLSFARGOBANK,NA
801,200503,N,203502,,0,1,O,80,24,94000,80,6.125,R,N,FRM,KS,SF,67100,F105Q1000024,P,360,2,Other sellers,Other servicers,
644,200504,N,203503,33780,0,1,O,80,37,288000,80,5.875,R,N,FRM,MI,SF,48100,F105Q1000025,N,360,2,Other sellers,Other servicers,
681,200503,N,203502,31460,0,1,O,75,42,343000,75,5.875,R,N,FRM,CA,SF,93600,F105Q1000026,C,360,2,Other sellers,Other servicers,
676,200503,N,203502,28140,0,1,O,80,42,304000,80,5.75,R,N,FRM,KS,SF,66000,F105Q1000027,N,360,2,Other sellers,Other servicers,
677,200503,N,203502,,25,1,O,90,45,54000,90,6.125,R,N,FRM,FL,SF,32400,F105Q1000028,P,360,1,Other sellers,Other servicers,
810,200503,N,203502,,0,1,O,78,30,145000,78,5.875,R,N,FRM,IA,SF,52100,F105Q1000029,N,360,2,Other sellers,Other servicers,
800,200504,N,203503,36740,0,1,O,80,7,39000,80,5.875,R,N,FRM,FL,SF,34700,F105Q1000030,P,360,2,Other sellers,Other servicers,
777,200504,N,203503,41180,0,1,I,80,38,48000,80,6.375,R,N,FRM,IL,SF,62200,F105Q1000031,N,360,2,Other sellers,Other servicers,
713,200505,N,203504,,35,1,O,92,61,124000,92,6,R,N,FRM,IL,MH,62500,F105Q1000032,N,360,2,Other sellers,Other servicers,
729,200503,N,203502,,0,1,O,75,2,316000,75,5.625,R,N,FRM,IN,SF,47500,F105Q1000033,N,360,2,Other sellers,Other servicers,
762,200505,N,203504,,0,1,O,80,29,120000,80,5.625,R,N,FRM,KY,SF,40400,F105Q1000034,C,360,2,Other sellers,PNCBANK,NATL
700,200503,N,203502,40140,0,1,I,67,40,100000,67,6,R,N,FRM,CA,SF,92200,F105Q1000035,C,360,1,Other sellers,Other servicers,
676,200503,N,203502,,0,1,S,78,43,137000,78,5.875,R,N,FRM,MI,SF,49800,F105Q1000036,N,360,2,Other sellers,Other servicers,
694,200502,N,203501,31084,0,1,O,61,26,360000,61,5.875,R,N,FRM,CA,SF,91300,F105Q1000037,N,360,2,Other sellers,Other servicers,
672,200504,N,203503,,0,1,O,61,36,240000,61,5.625,R,N,FRM,MT,SF,59900,F105Q1000038,P,360,2,Other sellers,PNCMTGESERVICES,INC
778,200504,N,203503,30460,0,1,O,75,54,201000,75,5.75,R,N,FRM,KY,SF,40300,F105Q1000039,N,360,2,Other sellers,Other servicers,
694,200503,N,203502,12060,0,1,O,89,21,100000,80,5.625,R,N,FRM,GA,SF,30200,F105Q1000040,N,360,2,Other sellers,USBANKNA,
683,200503,N,203502,39100,0,1,O,67,31,100000,67,6,R,N,FRM,NY,SF,12500,F105Q1000041,P,360,2,Other sellers,Other servicers,
616,200503,N,203502,,12,1,O,83,34,71000,83,6,R,N,FRM,TX,SF,75900,F105Q1000042,N,360,2,Other sellers,Other servicers,
729,200503,N,203502,,0,1,O,61,33,200000,61,5.5,T,N,FRM,OH,SF,45000,F105Q1000043,N,360,2,Other sellers,PNCMTGESERVICES,INC
701,200503,N,203502,,35,1,O,95,40,208000,95,5.875,R,N,FRM,OR,MH,97100,F105Q1000044,P,360,2,Other sellers,WELLSFARGOBANK,NA
781,200503,N,203502,31740,0,1,O,74,26,200000,74,5.625,R,N,FRM,KS,SF,66500,F105Q1000045,C,360,2,Other sellers,NATLCITYMTGECO,
622,200503,N,203502,26580,0,1,O,79,28,167000,79,6.125,R,N,FRM,OH,SF,45600,F105Q1000046,N,360,2,Other sellers,Other servicers,
608,200504,N,203503,19380,0,1,O,95,38,124000,80,5.875,T,N,FRM,OH,SF,45300,F105Q1000047,P,360,2,Other sellers,USBANKNA,
722,200503,N,203502,,0,1,O,86,28,124000,80,6,R,N,FRM,IL,MH,62800,F105Q1000048,N,360,1,Other sellers,WELLSFARGOBANK,NA
747,200503,N,203502,39100,0,1,O,63,48,180000,63,5.75,R,N,FRM,NY,SF,12500,F105Q1000049,C,360,1,Other sellers,Other servicers,
745,200503,N,203502,31740,0,1,O,79,34,360000,79,5.625,R,N,FRM,KS,SF,66500,F105Q1000050,N,360,2,Other sellers,PNCMTGESERVICES,INC
758,200502,N,203501,,0,1,O,89,27,142000,80,5.5,R,N,FRM,IA,SF,50500,F105Q1000051,N,360,2,Other sellers,Other servicers,
